County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Apache County,71887.0,29001.464819999997,2.4787368654022353,32508.0,1,0,0.055,0.063,0.031,0.15,0.701,3.578336557059962,7.250755287009064,3.6724187299491025,increase
Cochise County,125922.0,15969.07544,7.885365716576513,49260.0,0,1,0.053,0.025,0.147,0.19399999999999998,0.581,2.051282051282051,2.4471635150166855,0.3958814637346344,increase
Coconino County,143476.0,48222.73891,2.9752768764912942,59460.0,1,0,0.039,0.08,0.07,0.11,0.7020000000000001,4.332129963898916,1.4309764309764308,-2.9011535329224856,decrease
Gila County,54018.0,12322.99112,4.383513667581057,43524.0,0,1,0.073,0.013999999999999999,0.03,0.336,0.547,4.347826086956522,3.324808184143223,-1.0230179028132995,decrease
Graham County,38837.0,11972.48777,3.243853804329257,51353.0,0,1,0.095,0.067,0.237,0.049,0.5529999999999999,5.7142857142857135,0.5524861878453038,-5.16179952644041,decrease
Greenlee County,9498.0,4773.688268999999,1.989656522332921,63473.0,0,1,0.111,0.08900000000000001,0.16699999999999998,0.08900000000000001,0.544,0.0,3.846153846153846,3.846153846153846,increase
La Paz County,21108.0,11653.9967,1.8112241270842302,34643.0,0,1,0.031,0.064,0.162,0.17300000000000001,0.57,1.4925373134328357,2.1739130434782608,0.6813757300454251,increase
Maricopa County,4485414.0,23828.2706,188.23917502430916,64468.0,1,0,0.023,0.025,0.059000000000000004,0.158,0.7340000000000001,1.820308502083486,1.0897783775062702,-0.7305301245772158,decrease
Mohave County,212181.0,34475.56409,6.154533090338769,45587.0,0,1,0.051,0.096,0.10400000000000001,0.16399999999999998,0.585,10.695187165775401,2.358490566037736,-8.336696599737666,decrease
Navajo County,110924.0,25771.4883,4.304136366078633,40067.0,0,1,0.091,0.10800000000000001,0.059000000000000004,0.139,0.602,2.647253474520185,3.19091400757166,0.543660533051475,increase
Pima County,1047279.0,23794.34173,44.01378327182662,53379.0,1,0,0.023,0.024,0.073,0.121,0.759,2.708006279434851,1.601338432122371,-1.10666784731248,decrease
Pinal County,462789.0,13896.876240000001,33.30165657429788,58174.0,0,1,0.033,0.055,0.096,0.14800000000000002,0.667,1.5252621544327933,1.0186005314437556,-0.5066616229890377,decrease
Santa Cruz County,46498.0,3203.610431,14.514249157780945,41259.0,1,0,0.027999999999999997,0.002,0.057999999999999996,0.07400000000000001,0.8370000000000001,1.2596899224806204,1.6564952048823016,0.3968052824016812,increase
Yavapai County,235099.0,21039.78377,11.174021680546959,52451.0,0,1,0.031,0.073,0.081,0.17600000000000002,0.639,1.6129032258064515,1.839080459770115,0.2261772339636634,increase
Yuma County,213787.0,14281.17896,14.969842517819693,45243.0,0,1,0.008,0.013000000000000001,0.046,0.129,0.804,1.27826941986234,2.1005385996409336,0.8222691797785935,increase
