County,Population,Area (sq km),Population density (person/km^2),High school percentage,Persons per household,Persons in poverty percentage,Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Alameda County,1671329.0,1914.0544100000002,873.1878212385822,88.4,2.81,8.9,99406.0,1,0,0.019,0.008,0.055,0.12300000000000001,0.795,1.5413358243811304,1.0404624277456647,-0.5008733966354657,decrease
Alpine County,1129.0,1912.2673170000003,0.5903986278295001,91.2,3.71,17.2,63750.0,1,0,0.025,0.085,0.08800000000000001,0.19,0.612,0.0,0.0,0.0,no change
Amador County,39752.0,1539.956254,25.81372029026482,90.0,2.42,9.8,62772.0,0,1,0.045,0.013000000000000001,0.099,0.188,0.655,0.0,0.0,0.0,no change
Butte County,219186.0,4238.415035,51.714142713727895,89.2,2.55,16.1,52537.0,1,0,0.015,0.043,0.111,0.204,0.626,1.4705882352941178,0.6944444444444445,-0.7761437908496732,decrease
Calaveras County,45905.0,2641.8157,17.376306757507724,90.2,2.57,12.1,63158.0,0,1,0.045,0.019,0.098,0.276,0.562,0.0,0.0,0.0,no change
Colusa County,21547.0,2980.3791929999998,7.229616973104402,71.3,2.99,12.0,59401.0,0,1,0.027000000000000003,0.031,0.092,0.151,0.7,0.0,0.0,0.0,no change
Contra Costa County,1153526.0,1854.277441,622.0892162598445,89.5,2.86,7.9,99716.0,1,0,0.018000000000000002,0.016,0.039,0.121,0.8059999999999999,1.8378378378378377,1.3909888116117328,-0.4468490262261049,decrease
Del Norte County,27812.0,2606.488236,10.670295616864621,80.1,2.48,17.9,45283.0,0,1,0.01,0.135,0.11199999999999999,0.196,0.547,0.0,0.0,0.0,no change
El Dorado County,192843.0,4423.392121,43.59618019946281,93.4,2.67,8.7,83377.0,0,1,0.027999999999999997,0.042,0.07200000000000001,0.183,0.675,0.0,0.0,0.0,no change
Fresno County,999101.0,15431.13452,64.74579031795,76.0,3.16,20.5,53969.0,1,0,0.021,0.022000000000000002,0.059000000000000004,0.156,0.741,2.6346604215456675,0.585146286571643,-2.0495141349740242,decrease
Glenn County,28393.0,3403.117361,8.343232685826846,74.8,2.75,12.1,49633.0,0,1,0.027999999999999997,0.026000000000000002,0.146,0.20600000000000002,0.594,0.0,0.5681818181818182,0.5681818181818182,increase
Humboldt County,135558.0,9241.058420000001,14.669098910425456,90.5,2.43,19.1,48041.0,1,0,0.042,0.006,0.018000000000000002,0.069,0.865,12.903225806451612,0.0,-12.903225806451612,decrease
Imperial County,181215.0,10817.35223,16.75225102658971,69.7,3.87,22.0,47622.0,1,0,0.001,0.005,0.03,0.128,0.836,1.056338028169014,2.602704771625415,1.5463667434564008,increase
Inyo County,18039.0,26368.37739,0.68411490525925,88.6,2.16,11.7,57316.0,1,0,0.033,0.011000000000000001,0.008,0.057999999999999996,0.889,0.0,0.0,0.0,no change
Kern County,900202.0,21061.591480000003,42.741404459146786,74.1,3.18,19.0,53350.0,0,1,0.022000000000000002,0.027999999999999997,0.105,0.177,0.6679999999999999,1.6024036054081119,1.2899758129535073,-0.3124277924546046,decrease
Kings County,152940.0,3598.5839060000003,42.500051129834624,73.4,3.16,16.0,57848.0,0,1,0.075,0.016,0.049,0.094,0.7659999999999999,0.5191434133679429,2.5162337662337664,1.9970903528658235,increase
Lake County,64386.0,3254.218835,19.78539344297047,85.8,2.43,18.3,47040.0,1,0,0.003,0.004,0.006999999999999999,0.136,0.8490000000000001,0.0,0.9433962264150944,0.9433962264150944,increase
Lassen County,30573.0,11761.61079,2.599388854628134,83.2,2.23,16.5,56352.0,0,1,0.064,0.068,0.162,0.225,0.48200000000000004,0.0,0.0,0.0,no change
Los Angeles County,10039107.0,10509.868620000001,955.2076589136277,79.1,3.0,13.4,68044.0,1,0,0.021,0.013000000000000001,0.049,0.131,0.7859999999999999,2.983552212163713,1.3633255845754138,-1.620226627588299,decrease
Madera County,157327.0,5534.989929,28.424080624917067,71.9,3.28,17.6,57585.0,0,1,0.019,0.059000000000000004,0.048,0.124,0.7509999999999999,0.9803921568627451,0.7743362831858407,-0.20605587367690437,decrease
Marin County,258826.0,1347.5976970000002,192.06473903613386,93.3,2.4,6.9,115246.0,1,0,0.011000000000000001,0.0,0.046,0.141,0.802,0.8350730688935281,0.9958506224066391,0.16077755351311107,increase
Mariposa County,17203.0,3752.4293119999998,4.584496753872496,90.6,2.13,15.1,48820.0,0,1,0.01,0.094,0.049,0.18600000000000003,0.6609999999999999,0.0,0.0,0.0,no change
Mendocino County,86749.0,9081.385537,9.552397004461634,86.5,2.5,14.0,51416.0,1,0,0.002,0.003,0.004,0.222,0.77,0.0,0.7692307692307693,0.7692307692307693,increase
Merced County,277680.0,5011.55295,55.40797488730514,69.1,3.31,17.0,53672.0,1,0,0.026000000000000002,0.036000000000000004,0.08900000000000001,0.146,0.703,0.628930817610063,0.3713527851458886,-0.2575780324641744,decrease
Modoc County,8841.0,10146.985120000001,0.8712932851920846,84.8,2.31,20.5,45507.0,0,1,0.068,0.019,0.095,0.204,0.615,0.0,0.0,0.0,no change
Mono County,14444.0,7896.82771,1.829088911451001,88.6,2.86,10.1,62260.0,1,0,0.011000000000000001,0.026000000000000002,0.012,0.07,0.88,0.0,0.0,0.0,no change
Monterey County,434061.0,8496.721194,51.08570589635379,71.5,3.3,12.6,71015.0,1,0,0.023,0.006,0.066,0.141,0.763,0.5952380952380953,0.3024193548387097,-0.29281874039938566,decrease
Napa County,137744.0,1938.244916,71.06635434094954,85.5,2.78,7.4,88596.0,1,0,0.017,0.026000000000000002,0.033,0.149,0.773,0.8928571428571428,0.26246719160104987,-0.6303899512560929,decrease
Nevada County,99755.0,2480.614722,40.2138224510626,94.4,2.39,9.4,66096.0,1,0,0.003,0.054000000000000006,0.084,0.177,0.682,0.0,0.0,0.0,no change
Orange County,3175692.0,2047.5683940000001,1550.9577161406407,85.5,3.02,9.5,90234.0,1,0,0.023,0.021,0.046,0.156,0.754,3.215100601534951,1.1825031393888656,-2.032597462146085,decrease
Placer County,398329.0,3644.1418299999996,109.3066676825803,94.5,2.67,6.6,89691.0,0,1,0.012,0.023,0.07200000000000001,0.201,0.693,0.3891050583657587,0.24906600249066002,-0.14003905587509868,decrease
Plumas County,18807.0,6612.34807,2.8442241395801173,95.1,2.28,13.2,55359.0,0,1,0.063,0.067,0.053,0.146,0.6709999999999999,0.0,0.0,0.0,no change
Riverside County,2470546.0,18664.71114,132.3645451284493,82.0,3.27,11.3,67005.0,1,0,0.026000000000000002,0.013999999999999999,0.040999999999999995,0.11599999999999999,0.8029999999999999,2.479077846202432,1.1227902532250358,-1.356287592977396,decrease
Sacramento County,1552058.0,2498.407954,621.218803564536,87.7,2.77,12.6,67151.0,1,0,0.025,0.027999999999999997,0.062,0.16399999999999998,0.722,1.6793893129770994,0.6278415241394242,-1.0515477888376752,decrease
San Benito County,62808.0,3596.745013,17.462455573855827,80.5,3.33,10.4,86958.0,1,0,0.018000000000000002,0.004,0.063,0.175,0.7390000000000001,0.0,0.0,0.0,no change
San Bernardino County,2180085.0,51947.27403,41.96726470653652,80.0,3.3,13.3,63362.0,1,0,0.027000000000000003,0.022000000000000002,0.048,0.134,0.768,1.6433488785254278,0.6020514345176156,-1.0412974440078122,decrease
San Diego County,3338330.0,10895.12963,306.40571644120956,87.4,2.87,10.3,78980.0,1,0,0.017,0.023,0.034,0.126,0.8,2.9367844698855152,1.1476058567471308,-1.7891786131383844,decrease
San Francisco County,881549.0,121.39283130000001,7261.952708075603,88.5,2.36,9.5,112449.0,1,0,0.017,0.011000000000000001,0.035,0.121,0.8170000000000001,1.185344827586207,0.2508780732563974,-0.9344667543298097,decrease
San Joaquin County,762148.0,3603.5048869999996,211.50186385191938,79.3,3.16,13.6,64432.0,1,0,0.054000000000000006,0.019,0.081,0.165,0.68,1.084236864053378,0.6407013994267409,-0.44353546462663707,decrease
San Luis Obispo County,283111.0,8543.263314,33.138508037796385,91.3,2.52,11.6,73518.0,1,0,0.025,0.024,0.037000000000000005,0.16899999999999998,0.745,0.0,0.5973715651135006,0.5973715651135006,increase
San Mateo County,766573.0,1161.377416,660.0550255576866,89.6,2.89,6.1,122641.0,1,0,0.016,0.013000000000000001,0.057999999999999996,0.126,0.7859999999999999,3.139866793529971,0.8571428571428572,-2.282723936387114,decrease
Santa Barbara County,446499.0,7083.855748999999,63.03050426500152,80.9,2.92,12.0,74624.0,1,0,0.015,0.02,0.075,0.153,0.737,1.5781922525107603,0.4058441558441558,-1.1723480966666044,decrease
Santa Clara County,1927852.0,3341.346099,576.9686655856957,88.4,2.97,6.1,124055.0,1,0,0.015,0.013999999999999999,0.04,0.168,0.764,1.9161676646706587,0.6765547749154307,-1.2396128897552279,decrease
Santa Cruz County,273213.0,1152.985848,236.96127794970124,86.3,2.73,10.6,82234.0,1,0,0.008,0.0,0.086,0.109,0.797,0.0,0.21413276231263384,0.21413276231263384,increase
Shasta County,180080.0,9778.248246,18.416386603159268,91.1,2.49,13.3,54667.0,0,1,0.095,0.055999999999999994,0.071,0.23199999999999998,0.547,0.0,1.2345679012345678,1.2345679012345678,increase
Sierra County,3005.0,2468.804368,1.2171883843653342,92.4,2.34,12.7,52148.0,0,1,0.14,0.053,0.047,0.14300000000000002,0.617,0.0,0.0,0.0,no change
Siskiyou County,43539.0,16259.67232,2.6777292397489103,90.2,2.23,17.4,45241.0,0,1,0.132,0.07400000000000001,0.08199999999999999,0.16699999999999998,0.546,0.0,0.0,0.0,no change
Solano County,447643.0,2128.376082,210.3213824783058,88.4,2.87,9.0,81472.0,1,0,0.043,0.046,0.035,0.14800000000000002,0.728,1.832460732984293,0.4540295119182747,-1.3784312210660183,decrease
Sonoma County,494336.0,4081.435742,121.11816312897864,88.8,2.6,7.2,81018.0,1,0,0.022000000000000002,0.012,0.022000000000000002,0.149,0.795,0.0,1.1971268954509178,1.1971268954509178,increase
Stanislaus County,550660.0,3871.5947520000004,142.230795130492,78.9,3.09,13.0,60704.0,1,0,0.032,0.027999999999999997,0.062,0.17300000000000001,0.705,1.4647137150466045,0.5836139169472503,-0.8810997980993542,decrease
Sutter County,96971.0,1560.235876,62.15149996973919,78.2,2.93,12.8,59050.0,0,1,0.057999999999999996,0.031,0.08,0.163,0.669,1.8518518518518516,0.2638522427440633,-1.5879996091077884,decrease
Tehama County,65084.0,7639.719403,8.519161053800289,84.5,2.6,16.3,44514.0,0,1,0.057,0.062,0.141,0.195,0.545,0.0,0.0,0.0,no change
Trinity County,12285.0,8234.225708,1.491943557979526,92.4,2.17,16.5,40846.0,0,1,0.081,0.07,0.055,0.201,0.5920000000000001,0.0,0.0,0.0,no change
