County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Atlantic County,263670.0,1439.257443,183.1986357148198,62110.0,1,0,0.019,0.040999999999999995,0.03,0.17600000000000002,0.7340000000000001,9.212730318257957,5.979381443298968,-3.233348874958989,decrease
Bergen County,932202.0,603.4935699,1544.675944359221,101144.0,1,0,0.02,0.013999999999999999,0.053,0.151,0.762,33.591065292096225,2.06286836935167,-31.528196922744556,decrease
Burlington County,445349.0,2068.314214,215.3197986000013,87416.0,1,0,0.023,0.02,0.043,0.134,0.779,21.764705882352942,5.02283105022831,-16.741874832124633,decrease
Camden County,506471.0,573.0611874,883.7991668880558,70451.0,1,0,0.027999999999999997,0.005,0.027000000000000003,0.13699999999999998,0.802,22.388059701492537,4.569055036344756,-17.81900466514778,decrease
Cape May County,92039.0,651.2011857000001,141.33727336669986,67074.0,0,1,0.013000000000000001,0.011000000000000001,0.022000000000000002,0.214,0.74,33.333333333333336,11.538461538461538,-21.794871794871796,decrease
Cumberland County,149527.0,1252.7781630000002,119.35632693495471,54149.0,1,0,0.032,0.006,0.057999999999999996,0.142,0.762,12.68817204301075,2.0761245674740483,-10.612047475536702,decrease
Essex County,798975.0,326.88263789999996,2444.225869972399,61510.0,1,0,0.035,0.013999999999999999,0.085,0.183,0.682,39.833531510107015,8.463541666666668,-31.369989843440347,decrease
Gloucester County,291636.0,834.0026799,349.68232959990996,87283.0,1,0,0.047,0.01,0.052000000000000005,0.145,0.746,11.07871720116618,3.4862385321100913,-7.592478669056089,decrease
Hudson County,672391.0,119.6316381,5620.511519184824,71189.0,1,0,0.022000000000000002,0.019,0.077,0.21100000000000002,0.67,53.65853658536586,7.106598984771573,-46.551937600594286,decrease
Hunterdon County,124371.0,1108.049522,112.24317824307495,115379.0,0,1,0.006999999999999999,0.038,0.065,0.085,0.804,89.55223880597015,0.0,-89.55223880597015,decrease
Mercer County,367430.0,581.6081544,631.7483639462536,81057.0,1,0,0.017,0.013999999999999999,0.05,0.162,0.757,15.555555555555555,7.3654390934844205,-8.190116462071135,decrease
Middlesex County,825062.0,800.0738109,1031.232354764732,89533.0,1,0,0.02,0.016,0.054000000000000006,0.146,0.765,39.31398416886544,6.992230854605992,-32.321753314259446,decrease
Monmouth County,618795.0,1214.161412,509.6480532853568,99733.0,0,1,0.01,0.022000000000000002,0.040999999999999995,0.16399999999999998,0.764,20.96774193548387,3.691639522258414,-17.276102413225455,decrease
Morris County,491845.0,1191.861598,412.66955897005084,115527.0,1,0,0.023,0.018000000000000002,0.049,0.191,0.72,66.05839416058394,5.32994923857868,-60.72844492200527,decrease
Ocean County,607186.0,1628.5339119999999,372.842097745644,70909.0,0,1,0.012,0.055999999999999994,0.055,0.10400000000000001,0.772,29.05027932960894,4.116222760290557,-24.934056569318383,decrease
Passaic County,501826.0,478.0862541,1049.6557800949333,69688.0,1,0,0.028999999999999998,0.015,0.063,0.138,0.7559999999999999,43.42857142857143,6.24,-37.18857142857143,decrease
Salem County,62385.0,859.6176810000001,72.57296049032756,66842.0,0,1,0.040999999999999995,0.043,0.036000000000000004,0.154,0.726,18.181818181818183,12.658227848101266,-5.523590333716918,decrease
Somerset County,328934.0,781.6848819,420.8012814581722,113611.0,1,0,0.016,0.027000000000000003,0.046,0.12,0.7909999999999999,38.51590106007067,9.352517985611513,-29.163383074459155,decrease
Sussex County,140488.0,1344.23071,104.51182148635779,94520.0,0,1,0.02,0.026000000000000002,0.028999999999999998,0.205,0.72,59.45945945945945,3.7037037037037033,-55.75575575575575,decrease
Union County,556341.0,266.4063714,2088.317171531431,80198.0,1,0,0.012,0.011000000000000001,0.059000000000000004,0.20199999999999999,0.716,209.009009009009,5.3097345132743365,-203.69927449573464,decrease
Warren County,105267.0,924.4192308,113.87365871748587,81307.0,0,1,0.035,0.02,0.044000000000000004,0.152,0.7490000000000001,43.47826086956522,10.975609756097562,-32.50265111346766,decrease
