County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Albany County,305506.0,1354.0467720000001,225.62440701272908,66252.0,1,0,0.006,0.012,0.052000000000000005,0.142,0.7879999999999999,4.060913705583757,1.7241379310344827,-2.3367757745492743,decrease
Allegany County,46091.0,2665.902607,17.289078707892948,48412.0,0,1,0.062,0.015,0.027999999999999997,0.124,0.7709999999999999,0.0,0.0,0.0,no change
Bronx County,1418207.0,109.038579,13006.469939414746,40088.0,1,0,0.043,0.013000000000000001,0.066,0.136,0.742,12.104743083003951,3.8649706457925634,-8.239772437211387,decrease
Broome County,190488.0,1827.9372420000002,104.20926693937339,52226.0,1,0,0.044000000000000004,0.027999999999999997,0.051,0.066,0.812,4.225352112676056,3.954802259887005,-0.27054985278905086,decrease
Cattaraugus County,76117.0,3388.613417,22.462580009314767,48703.0,0,1,0.015,0.013000000000000001,0.024,0.156,0.7929999999999999,2.857142857142857,0.0,-2.857142857142857,decrease
Cayuga County,76576.0,1791.185284,42.75157946194918,58377.0,0,1,0.0,0.033,0.07200000000000001,0.162,0.732,0.0,0.0,0.0,no change
Chautauqua County,126903.0,2745.985098,46.21401627140221,46820.0,0,1,0.028999999999999998,0.024,0.038,0.20600000000000002,0.703,0.0,0.9615384615384615,0.9615384615384615,increase
Chemung County,83456.0,1055.0324269999999,79.1027819280478,54940.0,0,1,0.012,0.046,0.092,0.256,0.594,0.0,0.0,0.0,no change
Chenango County,47207.0,2314.2855649999997,20.398087735555663,52002.0,0,1,0.048,0.045,0.015,0.156,0.735,4.545454545454546,0.0,-4.545454545454546,decrease
Clinton County,80485.0,2688.021122,29.94210102788024,56365.0,1,0,0.017,0.024,0.102,0.084,0.773,0.0,0.0,0.0,no change
Columbia County,59461.0,1643.892553,36.1708555048123,66787.0,1,0,0.013999999999999999,0.004,0.028999999999999998,0.10400000000000001,0.848,7.6923076923076925,0.0,-7.6923076923076925,decrease
Cortland County,47581.0,1291.783412,36.83357407905777,56023.0,0,1,0.001,0.062,0.015,0.11800000000000001,0.8029999999999999,0.0,0.0,0.0,no change
Delaware County,44135.0,3735.9051759999998,11.813736677132407,49544.0,0,1,0.057,0.053,0.034,0.11199999999999999,0.7440000000000001,16.666666666666664,0.0,-16.666666666666664,decrease
Dutchess County,294218.0,2060.673744,142.77757498326235,81219.0,0,1,0.006999999999999999,0.009000000000000001,0.031,0.099,0.8540000000000001,3.3057851239669422,0.28409090909090906,-3.021694214876033,decrease
Erie County,918702.0,2700.556673,340.1898612923499,58121.0,1,0,0.018000000000000002,0.013999999999999999,0.04,0.161,0.7659999999999999,4.343534057255676,1.6079632465543643,-2.7355708107013115,decrease
Essex County,36885.0,4647.0377579999995,7.93731446156242,56763.0,1,0,0.05,0.05,0.057,0.107,0.736,0.0,0.0,0.0,no change
Franklin County,50022.0,4219.404509,11.855227412613072,50407.0,0,1,0.026000000000000002,0.027000000000000003,0.11699999999999999,0.09699999999999999,0.733,0.0,4.761904761904763,4.761904761904763,increase
Fulton County,53383.0,1283.2623449999999,41.59944395469658,50482.0,0,1,0.078,0.015,0.06,0.11800000000000001,0.7290000000000001,2.857142857142857,6.0606060606060606,3.2034632034632033,increase
Genesee County,57280.0,1276.709671,44.86532944889081,60524.0,0,1,0.001,0.017,0.015,0.187,0.7809999999999999,0.0,2.8571428571428568,2.8571428571428568,increase
Greene County,47188.0,1676.1379279999999,28.152814402514974,53601.0,0,1,0.022000000000000002,0.013999999999999999,0.03,0.146,0.7879999999999999,0.0,0.0,0.0,no change
Hamilton County,4416.0,4447.9711259999995,0.9928122001932259,58675.0,0,1,0.042,0.024,0.053,0.22899999999999998,0.653,0.0,0.0,0.0,no change
Herkimer County,61319.0,3655.693185,16.77356301442458,54646.0,0,1,0.015,0.026000000000000002,0.042,0.158,0.758,0.0,3.260869565217391,3.260869565217391,increase
Jefferson County,109834.0,3285.635414,33.428541563680625,52685.0,0,1,0.008,0.057999999999999996,0.038,0.11599999999999999,0.78,0.0,2.1739130434782608,2.1739130434782608,increase
Kings County,2559903.0,183.4230918,13956.274397507457,60231.0,1,0,0.035,0.034,0.057999999999999996,0.141,0.732,9.864283349884143,3.9215686274509802,-5.942714722433163,decrease
Lewis County,26296.0,3301.408453,7.965085318693221,54524.0,0,1,0.069,0.036000000000000004,0.02,0.11,0.765,0.0,0.0,0.0,no change
Livingston County,62914.0,1636.252082,38.4500656665933,59510.0,0,1,0.011000000000000001,0.034,0.009000000000000001,0.111,0.835,0.0,4.761904761904763,4.761904761904763,increase
Madison County,70941.0,1696.0290519999999,41.82770331460101,61633.0,0,1,0.003,0.015,0.043,0.107,0.8320000000000001,0.0,0.0,0.0,no change
Monroe County,741770.0,1702.1673280000002,435.77971906649117,60075.0,1,0,0.018000000000000002,0.012,0.055999999999999994,0.129,0.785,3.3707865168539324,0.9803921568627451,-2.390394359991187,decrease
Montgomery County,49221.0,1043.8695699999998,47.152442617902935,49462.0,0,1,0.102,0.005,0.054000000000000006,0.09,0.7490000000000001,0.0,0.0,0.0,no change
Nassau County,1356924.0,737.4219528,1840.0916800045663,116100.0,1,0,0.017,0.018000000000000002,0.043,0.142,0.779,3.7686240140227873,0.3896103896103896,-3.379013624412398,decrease
New York County,1628706.0,59.1294717,27544.74128000707,86553.0,1,0,0.02,0.016,0.04,0.121,0.8029999999999999,7.22254844392249,2.2488755622188905,-4.9736728817036,decrease
Niagara County,209281.0,1352.907176,154.68984399858044,55522.0,0,1,0.001,0.027999999999999997,0.037000000000000005,0.204,0.73,6.077348066298343,1.5228426395939088,-4.554505426704434,decrease
Oneida County,228671.0,3140.181576,72.82094823678439,56027.0,0,1,0.016,0.025,0.033,0.153,0.774,5.762711864406779,3.4031413612565444,-2.359570503150235,decrease
Onondaga County,460528.0,2016.022316,228.43397929926485,61359.0,1,0,0.019,0.008,0.054000000000000006,0.163,0.7559999999999999,4.584040747028863,1.7605633802816898,-2.8234773667471726,decrease
Ontario County,109777.0,1668.134859,65.80822851805173,64944.0,0,1,0.001,0.012,0.031,0.107,0.8490000000000001,4.838709677419355,1.3513513513513513,-3.4873583260680037,decrease
