County,Population,Area (sq km),Population density (person/km^2),High school percentage,Persons per household,Persons in poverty percentage,Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Baker County,16124.0,7946.08932,2.0291742705957905,91.0,2.22,13.6,45998.0,0,1,0.051,0.18899999999999997,0.179,0.18899999999999997,0.392,0.0,0.0,0.0,no change
Benton County,93053.0,1750.83324,53.147837197790466,95.9,2.4,16.5,62077.0,1,0,0.006999999999999999,0.006999999999999999,0.059000000000000004,0.156,0.77,0.0,1.6129032258064515,1.6129032258064515,increase
Clackamas County,418187.0,4838.101320000001,86.43618071231298,93.4,2.59,7.2,80484.0,1,0,0.016,0.024,0.071,0.168,0.721,5.118110236220473,1.3961605584642232,-3.7219496777562497,decrease
Clatsop County,40224.0,2141.92173,18.779397695358362,92.1,2.37,12.0,54886.0,1,0,0.052000000000000005,0.027000000000000003,0.051,0.073,0.797,0.0,0.0,0.0,no change
Columbia County,52354.0,1701.62343,30.76708928484841,91.3,2.61,8.6,62257.0,0,1,0.048,0.015,0.158,0.174,0.604,0.0,0.0,0.0,no change
Coos County,64487.0,4143.984,15.56159483241248,88.8,2.34,15.6,45051.0,0,1,0.128,0.061,0.136,0.099,0.5770000000000001,0.0,0.0,0.0,no change
Crook County,24404.0,4612.77219,5.290527907037179,90.0,2.38,10.9,49006.0,0,1,0.019,0.075,0.027000000000000003,0.24600000000000002,0.633,0.0,7.692307692307692,7.692307692307692,increase
Curry County,22925.0,7718.1702,2.970263599525183,90.3,2.13,13.4,48440.0,0,1,0.025,0.057999999999999996,0.1,0.162,0.655,0.0,0.0,0.0,no change
Deschutes County,197692.0,7816.58982,25.291336062456963,93.7,2.47,9.2,67043.0,1,0,0.01,0.061,0.013999999999999999,0.25,0.6659999999999999,0.0,0.5,0.5,increase
Douglas County,110980.0,13045.779629999999,8.506965712098266,89.6,2.37,11.8,47267.0,0,1,0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,0.0,1.8867924528301887,1.8867924528301887,increase
Gilliam County,1912.0,3118.34796,0.6131451731897167,90.0,2.22,10.9,47500.0,0,1,0.008,0.003,0.049,0.332,0.607,0.0,0.0,0.0,no change
Grant County,7199.0,8145.51855,0.8837988589443455,88.8,2.12,15.3,44712.0,0,1,0.013999999999999999,0.062,0.132,0.12,0.6709999999999999,0.0,0.0,0.0,no change
Harney County,7393.0,11730.064709999999,0.6302608027129972,91.6,2.23,14.2,40735.0,0,1,0.032,0.099,0.114,0.157,0.598,0.0,0.0,0.0,no change
Hood River County,23382.0,4213.913729999999,5.548760961463728,81.3,2.59,8.4,65679.0,1,0,0.03,0.071,0.127,0.162,0.61,0.0,0.0,0.0,no change
Jackson County,220944.0,7213.12215,30.630841320218043,90.1,2.41,13.6,53412.0,0,1,0.044000000000000004,0.077,0.075,0.138,0.665,0.0,0.0,0.0,no change
Jefferson County,24658.0,1351.97478,18.238505898756483,87.0,2.81,15.0,53277.0,0,1,0.018000000000000002,0.062,0.012,0.25,0.657,0.0,0.0,0.0,no change
Josephine County,87487.0,4247.5836,20.59688713366348,90.4,2.34,15.9,45616.0,0,1,0.027999999999999997,0.055999999999999994,0.07200000000000001,0.192,0.652,0.0,0.0,0.0,no change
Klamath County,68238.0,15397.49055,4.431761122269369,88.1,2.38,16.7,46491.0,0,1,0.09699999999999999,0.031,0.062,0.22699999999999998,0.583,0.0,1.2195121951219512,1.2195121951219512,increase
Lake County,7869.0,20564.5206,0.3826493285722401,86.5,2.07,17.0,37898.0,0,1,0.05,0.017,0.127,0.247,0.5579999999999999,0.0,0.0,0.0,no change
Lane County,382067.0,11794.81446,32.3927944178954,91.9,2.39,13.9,52426.0,1,0,0.031,0.036000000000000004,0.077,0.13699999999999998,0.7190000000000001,4.0,0.0,-4.0,decrease
Lincoln County,49962.0,2538.1902,19.684104051776735,91.5,2.24,14.6,47882.0,1,0,0.001,0.012,0.047,0.131,0.81,0.0,5.797101449275362,5.797101449275362,increase
Linn County,129749.0,5933.66709,21.866578969127843,89.5,2.58,12.6,55893.0,0,1,0.057,0.025,0.096,0.159,0.664,5.882352941176471,1.4285714285714286,-4.453781512605042,decrease
Malheur County,30571.0,25609.82112,1.193721731079393,81.1,2.63,21.0,43313.0,0,1,0.071,0.20600000000000002,0.213,0.20600000000000002,0.305,4.761904761904763,0.9174311926605505,-3.8444735692442125,decrease
Marion County,347818.0,3069.13815,113.3275802524562,85.2,2.78,12.2,59625.0,1,0,0.028999999999999998,0.013000000000000001,0.053,0.196,0.71,2.2443890274314215,2.944640753828033,0.7002517263966115,increase
Morrow County,11603.0,5265.44967,2.2036104658085165,75.8,2.82,12.7,54269.0,0,1,0.026000000000000002,0.004,0.083,0.19699999999999998,0.69,0.0,0.6097560975609756,0.6097560975609756,increase
Multnomah County,812855.0,1126.64565,721.4823933328106,91.5,2.42,12.0,69176.0,1,0,0.013000000000000001,0.016,0.054000000000000006,0.17800000000000002,0.738,1.9431988041853512,0.35211267605633806,-1.5910861281290132,decrease
Polk County,86085.0,8326.81785,10.338283069324016,90.9,2.68,9.4,62691.0,0,1,0.013000000000000001,0.022000000000000002,0.078,0.242,0.645,8.108108108108107,0.0,-8.108108108108107,decrease
Sherman County,1780.0,2131.56177,0.8350684578096933,89.3,2.16,12.5,51071.0,0,1,0.008,0.013999999999999999,0.046,0.271,0.66,0.0,0.0,0.0,no change
Tillamook County,27036.0,5275.80963,5.124521522964808,89.6,2.34,12.0,49895.0,0,1,0.125,0.04,0.092,0.163,0.581,0.0,0.0,0.0,no change
Umatilla County,77950.0,1919.18259,40.616250067170526,82.4,2.69,13.9,54699.0,0,1,0.043,0.01,0.081,0.155,0.71,1.8518518518518516,0.4734848484848484,-1.3783670033670032,decrease
Union County,26835.0,6166.76619,4.35155139228653,92.7,2.41,13.6,52171.0,0,1,0.034,0.08800000000000001,0.086,0.18899999999999997,0.603,0.0,1.4705882352941175,1.4705882352941175,increase
Wallowa County,7208.0,26249.54865,0.2745951976587605,93.1,2.15,12.3,51224.0,0,1,0.040999999999999995,0.083,0.146,0.22899999999999998,0.501,0.0,7.692307692307692,7.692307692307692,increase
