County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Anderson County,57735.0,2773.87929,20.813811259970148,43455.0,0,1,0.172,0.10400000000000001,0.095,0.08800000000000001,0.541,0.2066115702479339,0.5132591958939263,0.30664762564599246,increase
Andrews County,18705.0,3887.57499,4.811482749044026,76158.0,0,1,0.09,0.044000000000000004,0.067,0.20199999999999999,0.597,0.0,3.4682080924855487,3.4682080924855487,increase
Angelina County,86715.0,2077.17198,41.74666365372404,50453.0,0,1,0.121,0.064,0.079,0.2,0.536,1.6556291390728475,2.280701754385965,0.6250726153131174,increase
Aransas County,23510.0,652.67748,36.02085366879826,45137.0,0,1,0.006,0.005,0.17,0.07400000000000001,0.746,0.0,9.30232558139535,9.30232558139535,increase
Archer County,8553.0,2356.8909,3.628933354530751,63835.0,0,1,0.081,0.053,0.099,0.091,0.6759999999999999,0.0,0.0,0.0,no change
Armstrong County,1887.0,2367.25086,0.7971271789927663,72500.0,0,1,0.08,0.066,0.11599999999999999,0.25,0.488,0.0,0.0,0.0,no change
Atascosa County,51153.0,3190.8676800000003,16.03106274842459,55366.0,0,1,0.001,0.01,0.032,0.156,0.802,0.0,4.377104377104377,4.377104377104377,increase
Austin County,30032.0,1691.2634699999999,17.75713869111121,66206.0,0,1,0.006,0.024,0.054000000000000006,0.22399999999999998,0.6920000000000001,0.0,2.1276595744680846,2.1276595744680846,increase
Bailey County,7000.0,2141.92173,3.268093274351346,52273.0,0,1,0.018000000000000002,0.106,0.06,0.217,0.598,1.2048192771084338,5.172413793103448,3.967594515995015,increase
Bandera County,23112.0,2051.27208,11.267154769639335,58661.0,0,1,0.073,0.018000000000000002,0.07,0.09,0.7490000000000001,0.0,4.838709677419355,4.838709677419355,increase
Bastrop County,88723.0,2299.9111199999998,38.57670812948633,64597.0,0,1,0.006999999999999999,0.02,0.084,0.161,0.7290000000000001,1.2820512820512822,1.411764705882353,0.12971342383107087,increase
Baylor County,3509.0,2255.88129,1.5554896507874314,40739.0,0,1,0.066,0.075,0.134,0.10400000000000001,0.62,0.0,0.0,0.0,no change
Bee County,32565.0,2279.1912,14.287963203789133,44578.0,0,1,0.001,0.003,0.052000000000000005,0.19,0.753,0.0,1.9396551724137936,1.9396551724137936,increase
Bell County,362924.0,2742.79941,132.31882677122204,54884.0,0,1,0.01,0.035,0.078,0.205,0.672,0.9605122732123798,0.8253094910591471,-0.13520278215323267,decrease
Bexar County,2003554.0,3229.71753,620.349606858653,57157.0,1,0,0.015,0.016,0.057,0.09,0.8220000000000001,0.3898213318895506,1.7232483747807243,1.3334270428911736,increase
Blanco County,11931.0,1841.4828899999998,6.479017570453778,66390.0,0,1,0.005,0.019,0.115,0.07400000000000001,0.7879999999999999,0.0,4.225352112676055,4.225352112676055,increase
Borden County,654.0,2328.40101,0.2808794521180868,72188.0,0,1,0.039,0.115,0.125,0.107,0.614,0.0,0.0,0.0,no change
Bosque County,18685.0,2561.50011,7.294553659027561,52148.0,0,1,0.031,0.154,0.102,0.248,0.465,0.0,1.8018018018018018,1.8018018018018018,increase
Bowie County,93245.0,2299.9111199999998,40.54287106538274,50164.0,0,1,0.057999999999999996,0.134,0.114,0.221,0.473,2.923976608187134,7.089552238805971,4.165575630618837,increase
