County,Population,Area (sq km),Population density (person/km^2),High school percentage,Persons per household,Persons in poverty percentage,Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Adams County,19983.0,4985.73075,4.0080383402172295,66.9,3.26,16.8,48294.0,0,1,0.077,0.051,0.07200000000000001,0.076,0.7240000000000001,0.0,0.43103448275862066,0.43103448275862066,increase
Asotin County,22582.0,1647.2336400000002,13.709044941554252,91.4,2.41,13.8,53715.0,0,1,0.013999999999999999,0.028999999999999998,0.115,0.32,0.522,0.0,0.0,0.0,no change
Benton County,204390.0,4402.983,46.420801533869195,90.2,2.71,10.6,69023.0,0,1,0.084,0.011000000000000001,0.064,0.08,0.7609999999999999,1.8779342723004695,1.837769328263625,-0.04016494403684456,decrease
Chelan County,77200.0,7562.7708,10.207898935665218,82.6,2.66,12.2,58795.0,0,1,0.062,0.048,0.028999999999999998,0.297,0.564,0.0,0.33557046979865773,0.33557046979865773,increase
Clallam County,77331.0,4501.402620000001,17.179311989648237,92.5,2.24,11.2,52192.0,1,0,0.001,0.0,0.027999999999999997,0.225,0.746,0.0,0.0,0.0,no change
Clark County,488241.0,1629.1037099999999,299.6991517501363,92.7,2.69,9.2,75253.0,1,0,0.02,0.021,0.048,0.17,0.741,2.602230483271375,0.6279434850863421,-1.9742869981850328,decrease
Columbia County,3985.0,2250.7013100000004,1.7705592395998557,91.2,2.23,12.3,53423.0,0,1,0.08,0.031,0.079,0.223,0.586,0.0,0.0,0.0,no change
Cowlitz County,110593.0,2949.99861,37.48917020676156,89.3,2.51,12.6,54506.0,0,1,0.040999999999999995,0.02,0.098,0.21600000000000003,0.625,0.0,1.293103448275862,1.293103448275862,increase
Douglas County,43429.0,4711.19181,9.218261907277343,82.1,2.72,10.9,62951.0,0,1,0.067,0.047,0.042,0.271,0.573,0.0,0.7317073170731708,0.7317073170731708,increase
Ferry County,7627.0,5708.33796,1.3361157053847597,87.0,2.38,18.0,41939.0,0,1,0.08199999999999999,0.066,0.08199999999999999,0.204,0.565,0.0,0.0,0.0,no change
Franklin County,95222.0,3216.76758,29.60176563331318,75.0,3.36,13.5,63584.0,0,1,0.106,0.013000000000000001,0.059000000000000004,0.069,0.753,1.3713080168776373,0.7787151200519143,-0.5925928968257229,decrease
Garfield County,2225.0,1838.8929,1.2099671492559463,94.4,2.21,12.9,55900.0,0,1,0.031,0.028999999999999998,0.085,0.292,0.563,0.0,0.0,0.0,no change
Grant County,97733.0,6941.1732,14.08018460049376,76.7,3.06,13.9,55556.0,0,1,0.032,0.052000000000000005,0.10800000000000001,0.146,0.6609999999999999,0.8064516129032258,0.6389776357827476,-0.16747397712047818,decrease
Grays Harbor County,75061.0,4926.16098,15.237220282638836,89.7,2.44,13.1,51240.0,0,1,0.03,0.009000000000000001,0.087,0.213,0.662,0.0,1.8181818181818181,1.8181818181818181,increase
Jefferson County,32221.0,4672.34196,6.896113400056018,95.1,2.11,12.6,55127.0,1,0,0.011000000000000001,0.0,0.064,0.171,0.754,0.0,0.0,0.0,no change
King County,2252782.0,5477.82885,411.2545429381205,93.1,2.46,7.7,94974.0,1,0,0.016,0.02,0.05,0.191,0.7240000000000001,3.205495134516314,0.8126603934987167,-2.392834741017597,decrease
Kitsap County,271473.0,1023.04605,265.35755648536053,94.8,2.51,7.5,75411.0,1,0,0.024,0.003,0.051,0.136,0.7859999999999999,0.0,0.0,0.0,no change
Kittitas County,47935.0,5949.20703,8.057376345835456,91.4,2.35,14.0,56004.0,0,1,0.032,0.084,0.033,0.179,0.672,0.0,3.9603960396039604,3.9603960396039604,increase
Klickitat County,22425.0,4848.4612799999995,4.625178732993821,88.0,2.48,13.5,55773.0,0,1,0.038,0.028999999999999998,0.113,0.28800000000000003,0.532,0.0,0.0,0.0,no change
Lewis County,80707.0,6223.74597,12.96759224894907,87.5,2.51,12.2,53484.0,0,1,0.033,0.11199999999999999,0.128,0.111,0.616,0.0,0.0,0.0,no change
Lincoln County,10939.0,5985.46689,1.8275934360736228,92.7,2.3,9.1,54631.0,0,1,0.017,0.086,0.023,0.10800000000000001,0.765,0.0,0.0,0.0,no change
Mason County,66768.0,2483.8004100000003,26.88138697907695,88.6,2.61,12.8,57634.0,0,1,0.011000000000000001,0.024,0.091,0.152,0.721,0.0,0.0,0.0,no change
Okanogan County,42243.0,13644.067319999998,3.0960709156043658,83.9,2.31,16.4,47240.0,0,1,0.042,0.066,0.075,0.19899999999999998,0.617,5.263157894736842,0.0,-5.263157894736842,decrease
